event,location,latitude,longitude,event_type
"The premiere of the play Ulysses by Nicholas Rowe takes place in London, starring Thomas Betterton .","London, United Kingdom",51.5,-0.1,none
"An earthquake is recorded in Syria , northeast of Damascus .",Syria,35.0,37.0,cataclysm or fire
The Treaty of Warsaw is concluded between the Swedish Empire and the faction of the Polish–Lithuanian Commonwealth loyal to Stanisław Leszczyński during the Great Northern War .,Warsaw,52.2,21.0,purchase or sale of territory
"In the Battle of Saint Gotthard , the Hungarian army is victorious.",Saint Gotthard,46.7,8.6,war
"The Sophia Naturalization Act is passed by the Parliament of England , which naturalizes Sophia of Hanover (next in succession to the British throne ) and the Protestant ""issue of her body"" as British subjects.",England,54.0,-2.0,none
"In Munich , capital of Bavaria , 1,100 militiamen from the Oberland are killed during the Sendlinger Mordweihnacht after a failed attempt to break through several gates and capture a depot to seize better weaponry; many men are slaughtered by German federal infantry and Hungarian Hussars, despite their capitulation to Austrian officers.","Munich, Bavaria",48.1,11.6,war
"Fateh Singh and Zorawar Singh , sons of Guru Gobind Singh , are murdered by Wazir Khan for refusing to convert to Islam, and become hallowed martyrs in Sikhism.","Punjab, India",31.0,75.0,none
The premiere of the play Idoménée by Prosper Jolyot de Crébillon takes place in Paris.,"Paris, France",48.85,2.35,none
"The city of Albuquerque, New Mexico , is incorporated by governor Don Francisco Cuervo y Valdes as La Villa de Alburquerque in the Spanish colonial province of Santa Fe de Nuevo México in New Spain . Governor Cuervo sends a report on April 23 to the Spanish Crown and to New Spain's Governor, Francisco Fernández de la Cueva, 10th Duke of Alburquerque announcing that the new villa, consisting of 35 families and having a population of 252 adults, has been named in honor of the Duke.","Albuquerque, New Mexico",35.1,-106.6,none
"Great Northern War – Battle of Fraustadt : Outnumbered more than 4 to 1 in infantry troops, and more than 2 to 1 overall, Swedish troops under the command of General Carl Gustaf Rehnskiöld defeat a larger force of 20,000 Russian and Saxon infantry and cavalry.",Fraustadt,52.283,16.617,war
"Mary Channing , who was pregnant at the time that she was convicted of the murder of her husband, is burned at the stake at Dorset , in front of a crowd of 10,000 onlookers.",Dorset,50.7,-2.1,cataclysm or fire
"Concluding that Emperor Iyasus I of Ethiopia has abdicated by retiring to a monastery, a council of high officials appoint Tekle Haymanot I Emperor of Ethiopia .",Ethiopia,9.0,38.0,revolution or coup
The last Courts (parliament) of the Principality of Catalonia are finished; their dissolution is presided over by King Charles III of Spain.,"Catalonia, Spain",PARSE_ERROR,PARSE_ERROR,revolution or coup
The Battle of Grodno ends with a Swedish victory over Russian troops.,Grodno,53.6833,23.6167,war
"War of the Spanish Succession : After a siege of 14 days , a French and Spanish army retakes control of Barcelona , which had been captured by England's army in 1705.",Barcelona,41.3851,2.15,war
"A total eclipse of the Sun takes place and is visible in most of Europe, with a path crossing modern-day Spain, France, Germany, Poland and Russia",Europe,52.0,13.4,none
"War of the Spanish Succession – Battle of Ramillies : English, Dutch, German, Swiss and Scottish troops led by John Churchill, 1st Duke of Marlborough , defeat Franco-Bavarian forces in the Low Countries.",Low Countries,50.9,4.9,war
"Frederick IV of Denmark-Norway sends the first two Protestant missionaries to India, dispatching Lutherans Heinrich Plütcshau and Bartholomeus Ziegenbalg to Denmark-Norway's colony in India , the Dansk Ostindien , based at Tharangambadi (""Tranquebar"") in what is now the Tamil Nadu state.","Tharangambadi (Tranquebar), Tamil Nadu, India",10.5,79.0,religious reform
"In Tibet , Lha-bzang Khan , khan of the Khoshut , kills the regent and kidnaps the 6th Dalai Lama , Tsangyang Gyatso, and kills the Lama's regent.",Tibet,30.8,91.1,revolution or coup
"War of the Spanish Succession : Troops dispatched from Portugal capture Madrid and proclaim the Habsburg dynasty's Archduke Charles of Austria to be the King Carlos III of Spain, after the Bourbon ruler, Philip V , has fled.","Madrid, Spain",40.4,-3.7,revolution or coup
"Flemish Jesuit missionary François Noël is welcomed in China by the Kangxi Emperor at the Forbidden City in Beijing , and discusses the Emperor's disdain over the disapproval of Jesuit accommodation of Confucian rites by the Roman Catholic Church .","Beijing, China",39.9,116.4,religious reform
"The Treaty of Union between Scotland and England is agreed upon in London, for ratification by the national legislatures.","London, United Kingdom",51.5,-0.1,purchase or sale of territory
War of the Spanish Succession : The Spanish Bourbon armies of King Philip V retake Madrid from the Portuguese and Habsburg Austria troops that had entered the city in June.,Madrid,40.4,-3.7,war
"King Louis XIV of France makes his last visit to Paris , and gets an update on the construction of the veterans' hospital at the Dome des Invalides , which he had commissioned more than 35 years earlier.","Paris, France",48.85,2.35,none
War of the Spanish Succession – Battle of Turin : Forces of Austria and Savoy defeat the French near what is now the Italian city of Torino.,"Torino, Italy",45.06,7.67,war
"The Parliament of Scotland votes, 116 to 83, to approve the merger of Scotland with England to form the Kingdom of Great Britain .",Scotland,55.9,-4.0,none
"A British attempt to conquer the Canary Islands fails when a fleet of 12 Royal Navy warships, commanded by Admiral John Jennings is forced to retreat after being met by a heavy artillery attack while sailing into Santa Cruz Bay",Canary Islands,28.0,-15.5,war
"Five months after having been deposed from his position as the Dalai Lama , Tsangyang Gyatso disappears while in exile in Qinghai and is presumed to have been murdered.",Qinghai,36.5,100.5,revolution or coup
"The royal wedding of Prussia takes place in Berlin between the 18-year-old Crown Prince Friedrich Wilhelm and his bride Sophia Dorothea of Hanover , the 19-year-old daughter of the future King George I of Great Britain .","Berlin, Prussia",52.5,13.4,none
"João V becomes the new King of Portugal upon the death of his father, Dom Pedro II , and begins a reign of 43 years.",Portugal,40.4,-8.1,dynasty change
"Spanish General Alexandre Maître, Marquis de Bay leads the successful capture of Alcántara from Portugal",Alcántara,38.95,-6.75,war
"François Martin , the first Governor General of French India (now part of India's union territory of Puducherry ), retires after seven years and is replaced by Pierre Dulivier .",French India (now part of India's union territory of Puducherry),11.9,80.2,none
John V is crowned King of Portugal and the Algarves in Lisbon .,"Lisbon, Portugal",38.7,-9.1,dynasty change
"The Treaty (or Act) of Union , of the two Kingdoms of Scotland and England , is ratified by the Parliament of Scotland by a vote of 110 to 68.",Scotland and England,PARSE_ERROR,PARSE_ERROR,dynasty change
"Great Northern War : Eighteen months after losing the Battle of Warsaw , while leading a cavalry charge for Saxony against the army of Sweden , General Otto von Paykull of Swedish Livonia is beheaded outside of Stockholm , following his conviction for treason.","Stockholm, Sweden",59.3,18.0,war
"As part of the process of the unification of Scotland and England as Great Britain , Scotland selects 16 members to sit in the House of Lords at the Palace of Westminster .","Palace of Westminster, United Kingdom",51.5,-0.2,dynasty change
"Emperor Aurangzeb dies in Ahmednagar, Aurangabad.","Ahmednagar, Aurangabad",20.1,78.2,dynasty change
"The Act of Union with Scotland is ratified by the Parliament of England ; the Parliament of Scotland is adjourned for the last time on May 1 , 1707.",England,54.0,-2.0,purchase or sale of territory
The Kingdom of England and the Kingdom of Scotland are united as the Kingdom of Great Britain .,,,,dynasty change
"The siege of Játiva within the Spanish kingdom of Valencia begins as 9,000 Castilian and French troops, at the direction of King Philip V attack Játiva, defended by troops of the Kingdom of Aragon . Játiva (now Xàtiva ) falls on June 6.","Játiva, Spain",39.583,-0.417,war
The volcanic eruption in the Santorini caldera begins.,Santorini,36.406,25.419,cataclysm or fire
"On the island now occupied by Sri Lanka , Narendra Sinha becomes the monarch of most of the area as the new Kandyan king, succeeding to the throne upon the death of his father, King Vimaladharmasuriya II . Narendra Sinha reigns for almost 32 years until his death on May 13, 1739.",Sri Lanka,7.5,80.8,dynasty change
"The soldiers and officers defending the Aragonese city of Játiva are massacred after a larger force of Castilian troops breaks through the walls at the end of a 30-day siege . The rest of the town's residents are deported, and most of the dwellings are burned, with the area being renamed ""San Felipe"".","Játiva, Aragon",39.3839,-0.4164,war
"Less than three months after proclaiming himself to be the new Emperor of India , Muhammad Azam Shah and his three sons are killed in a battle by his troops led by his half-brother Muhammad Mu'azzam",India,20.0,78.0,revolution or coup
"On Francis II Rákóczi 's recommendation, and with Count Miklos Bercsényi's support, a meeting of the Hungarian independence activists, held at the village of Ónod declares the deposing of the House of Habsburg (and Joseph I, King of Hungary from the Hungarian throne.","Ónod, Hungary",47.4,20.6,revolution or coup
"The coronation of Muhammad Mu'azzam as the new Emperor of India, Bahadur Shah I , takes place in Delhi",Delhi,28.7,77.1,dynasty change
"Yeshe Gyatso is installed as the new Dalai Lama by his father, Lha-bzang Khan , who has recently deposed the 6th Dalai Lama . Though the justification is that the 21-year-old Yeshe was the true reincarnation of the 5th Dalai Lama , Yeshe receives no recognition from Buddhists in Tibet or Mongolia and the 7th Dalai Lama is installed in 1710.",Tibet,30.8,91.1,revolution or coup
"August 21 – War of the Spanish Succession – Battle of Toulon : The Allies are obliged to withdraw, but the French fleet is effectively put out of action.",Toulon,43.1,5.3,war
"Charles XII of Sweden launches his campaign to conquer Russia, marching to the east from Altranstädt with 60,000 coalition troops. Another 16,000 soldiers are waiting on the outskirts of Riga , guarding the Swedish supply lines.",Russia,60.0,30.0,war
"Vincenzo Durazzo is elected to a 2-year term as the new Doge of the Republic of Genoa (including the island of Corsica ), succeeding the outgoing Doge, Domenico Maria De Mari .",Republic of Genoa,44.4,8.9,dynasty change
"October 4 – War of the Spanish Succession : The siege of the fortress of Ciudad Rodrigo , led by troops under the command of Alexandre Maître , begins and lasts for 16 days. On the final day, General Maitre begins the attack that takes the fortress within 45 minutes.",Ciudad Rodrigo,41.0,-6.7,war
